,root_article,article_compared,cateogry ID,FP/FN/TP/TN,score
0,"227    151832
Name: id, dtype: int64",151832,Trump meeting,TP,1
1,"197    120639
Name: id, dtype: int64",120639,Brazil impeachment,TP,1
2,"46    40617
Name: id, dtype: int64",40617,Kaepernick,TP,1
3,"292    214888
Name: id, dtype: int64",214888,Clinton Guccifer,TP,1
4,"75    49480
Name: id, dtype: int64",49480,Anthony Weiner,TP,1
5,"37    38658
Name: id, dtype: int64",38658,SpaceX,TP,1
6,"52    43447
Name: id, dtype: int64",43447,Lauer debate,TP,1
7,"241    172079
Name: id, dtype: int64",172079,Venezuela,TP,1
8,"247    172085
Name: id, dtype: int64",172085,David Brown,TP,1
9,"302    217418
Name: id, dtype: int64",217418,haiti AND president,TP,1
10,"397    217515
Name: id, dtype: int64",217518,capitol AND riot AND trump,TP,1
11,"397    217515
Name: id, dtype: int64",217525,capitol AND riot AND trump,TP,1
12,"397    217515
Name: id, dtype: int64",217537,capitol AND riot AND trump,TP,1
13,"397    217515
Name: id, dtype: int64",217503,capitol AND riot AND trump,FP,1
14,"397    217515
Name: id, dtype: int64",217512,capitol AND riot AND trump,FP,1
15,"397    217515
Name: id, dtype: int64",217515,capitol AND riot AND trump,TP,1
16,"397    217515
Name: id, dtype: int64",217516,capitol AND riot AND trump,TP,1
17,"397    217515
Name: id, dtype: int64",217480,capitol AND riot AND trump,FP,1
18,"397    217515
Name: id, dtype: int64",217538,capitol AND riot AND trump,TP,1
19,"397    217515
Name: id, dtype: int64",217479,capitol AND riot AND trump,FP,1
20,"35    37252
Name: id, dtype: int64",37252,Farage,TP,1
21,"1    21448
Name: id, dtype: int64",21448,Safe space,TP,1
22,"238    158005
Name: id, dtype: int64",158005,Iran deal,TP,1
23,"118    80094
Name: id, dtype: int64",80094,Penn State,TP,1
24,"374    217490
Name: id, dtype: int64",217490,inflation AND economy AND fed,TP,1
25,"350    217466
Name: id, dtype: int64",217466,critical AND race AND theory,TP,1
26,"326    217442
Name: id, dtype: int64",217443,afghanistan AND war AND end,TP,1
27,"326    217442
Name: id, dtype: int64",217442,afghanistan AND war AND end,TP,1
28,"397    217515
Name: id, dtype: int64",217509,capitol AND riot AND trump,FP,0.987343411
29,"397    217515
Name: id, dtype: int64",217489,capitol AND riot AND trump,FP,0.953357654
