,root_article,article_compared,predicted_mapping,"true_mapping""",FP/FN/TP/TN,score,,,,,
0,"227    151832
Name: id, dtype: int64",151832,Trump meeting,Trump meeting,TP,1,,,,TP,80
1,"227    151832
Name: id, dtype: int64",48306,Trump meeting,Trump meeting,TP,0.421408933,,,,TN,3760
2,"227    151832
Name: id, dtype: int64",172078,Trump meeting,Trump meeting,TP,0.400392205,,,,FN,78
3,"227    151832
Name: id, dtype: int64",110126,Trump meeting,Trump meeting,TP,0.374014235,,,,FP,4
4,"227    151832
Name: id, dtype: int64",26536,Trump meeting,Trump meeting,TP,0.346912713,,,,,3922
5,"227    151832
Name: id, dtype: int64",57365,Trump meeting,Trump meeting,TP,0.332213464,,,,,
6,"227    151832
Name: id, dtype: int64",21499,Trump meeting,Trump meeting,TP,0.318476841,,,,,
7,"227    151832
Name: id, dtype: int64",190512,Trump meeting,Trump meeting,TP,0.309637339,,,,,
8,"227    151832
Name: id, dtype: int64",23872,Trump meeting,Trump meeting,TP,0.301024925,,,,,
9,"227    151832
Name: id, dtype: int64",110133,Trump meeting,Trump meeting,TP,0.293448803,,,,,
10,"227    151832
Name: id, dtype: int64",23888,Trump meeting,Trump meeting,TP,0.286671071,,,,,
11,"227    151832
Name: id, dtype: int64",142033,Trump meeting,Trump meeting,TP,0.267412932,,,,,
12,"227    151832
Name: id, dtype: int64",214876,Trump meeting,No Mapping,FP,0.266494283,,,,,
13,"227    151832
Name: id, dtype: int64",71336,Trump meeting,Trump meeting,TP,0.266470182,,,,,
14,"227    151832
Name: id, dtype: int64",71335,Trump meeting,Trump meeting,TP,0.262455019,,,,,
15,"227    151832
Name: id, dtype: int64",80098,No Mapping,No Mapping,TN,0.248058019,,,,,
16,"227    151832
Name: id, dtype: int64",57366,No Mapping,Trump meeting,FN,0.225657052,,,,,
17,"227    151832
Name: id, dtype: int64",78170,No Mapping,No Mapping,TN,0.208538477,,,,,
18,"227    151832
Name: id, dtype: int64",44928,No Mapping,No Mapping,TN,0.202357155,,,,,
19,"227    151832
Name: id, dtype: int64",71341,No Mapping,No Mapping,TN,0.197833429,,,,,
20,"227    151832
Name: id, dtype: int64",71339,No Mapping,Trump meeting,FN,0.196810274,,,,,
21,"227    151832
Name: id, dtype: int64",214883,No Mapping,No Mapping,TN,0.195408812,,,,,
22,"227    151832
Name: id, dtype: int64",214875,No Mapping,No Mapping,TN,0.187916473,,,,,
23,"227    151832
Name: id, dtype: int64",85798,No Mapping,No Mapping,TN,0.186984571,,,,,
24,"227    151832
Name: id, dtype: int64",120629,No Mapping,No Mapping,TN,0.178680403,,,,,
25,"227    151832
Name: id, dtype: int64",85799,No Mapping,No Mapping,TN,0.172613332,,,,,
26,"227    151832
Name: id, dtype: int64",214891,No Mapping,No Mapping,TN,0.172320327,,,,,
27,"227    151832
Name: id, dtype: int64",36979,No Mapping,No Mapping,TN,0.147105193,,,,,
28,"227    151832
Name: id, dtype: int64",214879,No Mapping,No Mapping,TN,0.14457666,,,,,
29,"227    151832
Name: id, dtype: int64",49458,No Mapping,No Mapping,TN,0.143665153,,,,,
30,"227    151832
Name: id, dtype: int64",120628,No Mapping,No Mapping,TN,0.137975449,,,,,
31,"227    151832
Name: id, dtype: int64",71344,No Mapping,No Mapping,TN,0.134760033,,,,,
32,"227    151832
Name: id, dtype: int64",80108,No Mapping,No Mapping,TN,0.13330381,,,,,
33,"227    151832
Name: id, dtype: int64",80112,No Mapping,No Mapping,TN,0.133018693,,,,,
34,"227    151832
Name: id, dtype: int64",57369,No Mapping,No Mapping,TN,0.131299677,,,,,
35,"227    151832
Name: id, dtype: int64",21500,No Mapping,No Mapping,TN,0.121032381,,,,,
36,"227    151832
Name: id, dtype: int64",47403,No Mapping,No Mapping,TN,0.12013596,,,,,
37,"227    151832
Name: id, dtype: int64",42951,No Mapping,No Mapping,TN,0.118291723,,,,,
38,"227    151832
Name: id, dtype: int64",80111,No Mapping,No Mapping,TN,0.117062067,,,,,
39,"227    151832
Name: id, dtype: int64",214889,No Mapping,No Mapping,TN,0.115492421,,,,,
40,"227    151832
Name: id, dtype: int64",25226,No Mapping,No Mapping,TN,0.110957352,,,,,
41,"227    151832
Name: id, dtype: int64",38952,No Mapping,No Mapping,TN,0.108955225,,,,,
42,"227    151832
Name: id, dtype: int64",110147,No Mapping,No Mapping,TN,0.104397101,,,,,
43,"227    151832
Name: id, dtype: int64",44993,No Mapping,No Mapping,TN,0.103687488,,,,,
44,"227    151832
Name: id, dtype: int64",217535,No Mapping,No Mapping,TN,0.101061037,,,,,
45,"227    151832
Name: id, dtype: int64",214878,No Mapping,No Mapping,TN,0.086048423,,,,,
46,"227    151832
Name: id, dtype: int64",120633,No Mapping,No Mapping,TN,0.084783846,,,,,
47,"227    151832
Name: id, dtype: int64",36650,No Mapping,No Mapping,TN,0.082416707,,,,,
48,"227    151832
Name: id, dtype: int64",48388,No Mapping,No Mapping,TN,0.08196007,,,,,
49,"227    151832
Name: id, dtype: int64",80097,No Mapping,No Mapping,TN,0.081141406,,,,,
50,"227    151832
Name: id, dtype: int64",217530,No Mapping,No Mapping,TN,0.080654786,,,,,
51,"227    151832
Name: id, dtype: int64",110156,No Mapping,No Mapping,TN,0.080381854,,,,,
52,"227    151832
Name: id, dtype: int64",35723,No Mapping,No Mapping,TN,0.079120814,,,,,
53,"227    151832
Name: id, dtype: int64",120631,No Mapping,No Mapping,TN,0.078470322,,,,,
54,"227    151832
Name: id, dtype: int64",217517,No Mapping,No Mapping,TN,0.078303269,,,,,
55,"227    151832
Name: id, dtype: int64",48914,No Mapping,No Mapping,TN,0.077410482,,,,,
56,"227    151832
Name: id, dtype: int64",217519,No Mapping,No Mapping,TN,0.075801412,,,,,
57,"227    151832
Name: id, dtype: int64",214880,No Mapping,No Mapping,TN,0.073048444,,,,,
58,"227    151832
Name: id, dtype: int64",139673,No Mapping,No Mapping,TN,0.071426458,,,,,
59,"227    151832
Name: id, dtype: int64",47078,No Mapping,No Mapping,TN,0.069952803,,,,,
60,"227    151832
Name: id, dtype: int64",43672,No Mapping,No Mapping,TN,0.069613836,,,,,
61,"227    151832
Name: id, dtype: int64",85797,No Mapping,No Mapping,TN,0.067811844,,,,,
62,"227    151832
Name: id, dtype: int64",217539,No Mapping,No Mapping,TN,0.066070074,,,,,
63,"227    151832
Name: id, dtype: int64",36823,No Mapping,No Mapping,TN,0.06325413,,,,,
64,"227    151832
Name: id, dtype: int64",172083,No Mapping,No Mapping,TN,0.06265356,,,,,
65,"227    151832
Name: id, dtype: int64",217527,No Mapping,No Mapping,TN,0.061893067,,,,,
66,"227    151832
Name: id, dtype: int64",40754,No Mapping,No Mapping,TN,0.061720115,,,,,
67,"227    151832
Name: id, dtype: int64",217522,No Mapping,No Mapping,TN,0.061643908,,,,,
68,"227    151832
Name: id, dtype: int64",214973,No Mapping,No Mapping,TN,0.060810157,,,,,
69,"227    151832
Name: id, dtype: int64",172077,No Mapping,No Mapping,TN,0.058214466,,,,,
70,"227    151832
Name: id, dtype: int64",43447,No Mapping,No Mapping,TN,0.057759782,,,,,
71,"227    151832
Name: id, dtype: int64",217533,No Mapping,No Mapping,TN,0.056785711,,,,,
72,"227    151832
Name: id, dtype: int64",190495,No Mapping,No Mapping,TN,0.054811308,,,,,
73,"227    151832
Name: id, dtype: int64",217419,No Mapping,No Mapping,TN,0.05392623,,,,,
74,"227    151832
Name: id, dtype: int64",21455,No Mapping,No Mapping,TN,0.053472892,,,,,
75,"227    151832
Name: id, dtype: int64",49416,No Mapping,No Mapping,TN,0.052926001,,,,,
76,"227    151832
Name: id, dtype: int64",110155,No Mapping,No Mapping,TN,0.050757584,,,,,
77,"227    151832
Name: id, dtype: int64",217462,No Mapping,No Mapping,TN,0.04755423,,,,,
78,"227    151832
Name: id, dtype: int64",80106,No Mapping,No Mapping,TN,0.04735345,,,,,
79,"227    151832
Name: id, dtype: int64",46175,No Mapping,No Mapping,TN,0.046281807,,,,,
80,"227    151832
Name: id, dtype: int64",217526,No Mapping,No Mapping,TN,0.04531517,,,,,
81,"227    151832
Name: id, dtype: int64",151598,No Mapping,No Mapping,TN,0.045045838,,,,,
82,"227    151832
Name: id, dtype: int64",46896,No Mapping,No Mapping,TN,0.044847107,,,,,
83,"227    151832
Name: id, dtype: int64",43849,No Mapping,No Mapping,TN,0.044598555,,,,,
84,"227    151832
Name: id, dtype: int64",138709,No Mapping,No Mapping,TN,0.042162471,,,,,
85,"227    151832
Name: id, dtype: int64",37252,No Mapping,No Mapping,TN,0.041892015,,,,,
86,"227    151832
Name: id, dtype: int64",85801,No Mapping,No Mapping,TN,0.040581835,,,,,
87,"227    151832
Name: id, dtype: int64",57377,No Mapping,No Mapping,TN,0.039581496,,,,,
88,"227    151832
Name: id, dtype: int64",172086,No Mapping,No Mapping,TN,0.038535154,,,,,
89,"227    151832
Name: id, dtype: int64",85880,No Mapping,No Mapping,TN,0.037305831,,,,,
90,"227    151832
Name: id, dtype: int64",22918,No Mapping,No Mapping,TN,0.036725875,,,,,
91,"227    151832
Name: id, dtype: int64",214943,No Mapping,No Mapping,TN,0.0362911,,,,,
92,"227    151832
Name: id, dtype: int64",110135,No Mapping,No Mapping,TN,0.036192136,,,,,
93,"227    151832
Name: id, dtype: int64",21485,No Mapping,No Mapping,TN,0.034987224,,,,,
94,"227    151832
Name: id, dtype: int64",217472,No Mapping,No Mapping,TN,0.033598687,,,,,
95,"227    151832
Name: id, dtype: int64",139571,No Mapping,No Mapping,TN,0.033100465,,,,,
96,"227    151832
Name: id, dtype: int64",217511,No Mapping,No Mapping,TN,0.031982307,,,,,
97,"227    151832
Name: id, dtype: int64",217488,No Mapping,No Mapping,TN,0.030386008,,,,,
98,"227    151832
Name: id, dtype: int64",110165,No Mapping,No Mapping,TN,0.030169693,,,,,
99,"227    151832
Name: id, dtype: int64",217524,No Mapping,No Mapping,TN,0.03011379,,,,,
100,"227    151832
Name: id, dtype: int64",80105,No Mapping,No Mapping,TN,0.029800765,,,,,
101,"227    151832
Name: id, dtype: int64",217521,No Mapping,No Mapping,TN,0.029316106,,,,,
102,"227    151832
Name: id, dtype: int64",217523,No Mapping,No Mapping,TN,0.028808424,,,,,
103,"227    151832
Name: id, dtype: int64",80101,No Mapping,No Mapping,TN,0.028486429,,,,,
104,"227    151832
Name: id, dtype: int64",137143,No Mapping,No Mapping,TN,0.027297432,,,,,
105,"227    151832
Name: id, dtype: int64",139776,No Mapping,No Mapping,TN,0.02719386,,,,,
106,"227    151832
Name: id, dtype: int64",71340,No Mapping,No Mapping,TN,0.027023839,,,,,
107,"227    151832
Name: id, dtype: int64",35996,No Mapping,No Mapping,TN,0.026772541,,,,,
108,"227    151832
Name: id, dtype: int64",190522,No Mapping,No Mapping,TN,0.026071797,,,,,
109,"227    151832
Name: id, dtype: int64",57372,No Mapping,No Mapping,TN,0.024388385,,,,,
110,"227    151832
Name: id, dtype: int64",80103,No Mapping,No Mapping,TN,0.023984528,,,,,
