,id,publication,date,content
0,217418,Global News,2016-09-01,"Haiti in state of emergency after President Jovenel Moïse assassinated

After the attack, the first lady was airlifted to Miami, Fla., for treatment where she was in a stable condition, Joseph added.
The assassination was carried out by “well-trained professional commandos'” and “foreign mercenaries” who were masquerading as U.S. Drug Enforcement Administration (DEA) agents, according to Bocchit Edmond, the Haitian ambassador to the U.S.
The DEA has an office in the Haitian capital to assist the government in counternarcotics programs, according to the U.S. Embassy.
Story continues below advertisement

6:08  Mercenaries responsible for assassination of Haiti’s president, country’s ambassador to the U.S. says

Mercenaries responsible for assassination of Haiti’s president, country’s ambassador to the U.S. says

A resident who lives near the president’s home  told the Associated Press  she heard the attack.
“I thought there was an earthquake, there was so much shooting,” the woman said, who spoke on condition of anonymity because she fears for her life. “The president had problems with many people, but this is not how we expected him to die. This is something I wouldn’t wish on any Haitian.”
Haiti’s police and army managed to track down the presumed assassins and were engaged in a fierce battle with them late on Wednesday night, officials said.
Four people suspected of being involved in the assassination were killed by police and two others were arrested, Haiti’s police chief said.
Charles added that three police officers who had been held hostage were freed.
Story continues below advertisement

WHAT NOW?

Moïse’s death has generated confusion about who is now the legitimate leader of the country of 11 million people, which shares the island of Hispaniola with the Dominican Republic.
-

-

Though Moïse is dead, his party retains power. Joseph, appointed by Moïse on an interim basis as prime minister in April after the previous prime minister resigned, controls Haiti for now.
The 1987 constitution says the head of the supreme court should take over. Meanwhile, amendments that are not unanimously recognized say it should it be the prime minister, or the Parliament should elect a president.
4:21  Haiti’s first lady in stable but critical condition, country’s ambassador to the U.S. says

Haiti’s first lady in stable but critical condition, country’s ambassador to the U.S. says

But complicating matters further, the head of the supreme court died last month due to COVID-19 amid a surge in infections in one of the few countries worldwide yet to start a vaccination campaign.
Story continues below advertisement

There is no sitting Parliament as Haiti failed to hold legislative elections in late 2019 amid political unrest.
And Moïse had just this week appointed a new prime minister, Ariel Henry, to take over from interim prime minister Joseph, though he had yet to be sworn in when the president was killed.
Henry, however,  told Le Nouvelliste  that he did not consider Joseph the legitimate prime minister anymore and he should revert to the role of foreign minister.
“I think we need to speak. Claude was supposed to stay in the government I was going to have,” Henry was quoted as saying.
2:52  Haiti’s prime minister to lead country until election following president’s assassination: UN

Haiti’s prime minister to lead country until election following president’s assassination: UN

READ MORE:  Haiti President Jovenel Moïse assassinated at home by mercenaries
The Dominican Republic said on Wednesday it was closing its border with Haiti and bolstering security amid fears of a breakdown in order in the country.
Story continues below advertisement

The United Nations Security Council was due to hold a closed-door meeting on the situation in Haiti on Thursday.
Since taking over, Joseph has also declared Haiti in a “state of siege” for 15 days. During this time, security forces have increased rights to conduct searches and seizures and to detain persons of interest. Some civil rights have also been suspended, including the right to protest and to hold large gatherings.
WHY WAS MOÏSE SO CONTROVERSIAL?

Moïse had been in office for four-and-a-half years before he was killed.
When he first took office, he pledged to strengthen institutions, fight corruption and bring more investment and jobs to the nation. However, critics accused him of growing increasingly authoritarian.
Read more:  Canadians stranded in Haiti amid deadly protests hope for quick resolution

Story continues below advertisement

He said his five-year term was supposed to end in 2022. But his critics, including human rights groups and clergy members, insisted that his term was up this past February.
When he refused to vacate the presidency, protests swelled as many demanded his resignation. Moïse said he planned to modify the Haitian constitution to allow him to stay in office even longer.
Earlier this year, he dissolved the Parliament, saying most lawmakers’ terms had ended. He also forced three supreme court justices into early retirement.
2:03  Trio of Maritime medical professionals share their harrowing escape from Haiti

Trio of Maritime medical professionals share their harrowing escape from Haiti – Feb 17, 2019

Moise pursued sweeping constitutional changes that would increase presidential power. He planned a vote on a referendum, as well as his replacement, in September.
Moïse lost the trust of the Haitian people early, said Tamanisha John, a Caribbean studies scholar at Florida International University, in an interview with Reuters.
Story continues below advertisement

WHAT HAS CANADA, INTERNATIONAL COMMUNITY SAID?

The assassination drew shock and condemnation from leaders in Latin America, Europe and the U.S., along with calls for calm and unity in the troubled Caribbean nation.
Prime Minister Justin Trudeau joined world leaders on Wednesday in condemning the assassination of Moïse.
In a statement  , Trudeau said he was shocked and saddened to learn of the assassination.
“We wish a full recovery to first lady Martine Moïse who was injured in the attack, and our thoughts are with her as she mourns the loss of her husband,” the statement read.
Read more:

“Canada stands with the people of Haiti during these difficult and uncertain times. Our two countries are united by a strong friendship, built on enduring people-to-people ties. Canada has a deep and longstanding commitment to Haiti, and we are ready to offer any assistance it needs.
Story continues below advertisement

Canada also released an advisory  against travel to Haiti on Wednesday calling the situation in the country “volatile” and warning it could “worsen quickly.”
Members of Canada’s Haitian community, largely based in French-speaking Quebec, said they are now becoming increasingly concerned for the future of the Caribbean country.
1:52  Haitian Montrealers shocked by Jovenel Moïse’s assassination

Haitian Montrealers shocked by Jovenel Moïse’s assassination

“It was a real shock because we didn’t expect that, and well, it was horrible because it’s not a very democratic way to get rid of a president,” said Marjorie Villefranche, the executive director of La Maison d’Haiti — a Haitian community group based in Montreal.
According to Villefranche, Moise’s assassination now leaves an even deeper vacuum in power and politics in a country already wracked by political and economic instability.
— with files from Global News’ David Lao, the Associated Press and Reuters
Advertisement"
1,217419,@ChinaDailyApp,2016-09-01,"MEXICO CITY - Haitian police have arrested two of the gunmen who are suspected to have assassinated President Jovenel Moise early Wednesday, while four others were killed when apprehended by the authorities, said Leon Charles, director general of the National Police.
The police operation also led to the release of three police officers the gunmen had kidnapped in the attack at Moise's residence, Charles, accompanied by Interim Prime Minister Claude Joseph and other officials, told the press.
The suspects were apprehended following an intense shootout with police in the upscale Pelerin district, where Moise's residence is located, ""shortly before 6 (pm) in the afternoon,"" Secretary of State for Communication Frantz Exantus said earlier via Twitter.
At the briefing, Minister of Culture and Communication Pradel Henriquez said the assailants are foreigners who speak Spanish and English, but did not provide details about their nationality or identity.
The interim prime minister stressed that the country's security situation was ""under control"" in the aftermath of the assassination.
He added that a forensic report was made on Moise's death and his body was then transferred to a morgue in the capital.
Regarding the state of health of the first lady, Martine Moise, who was injured in the attack, Joseph said she was ""out of danger"" after being transferred to a hospital in Miami, Florida.
""Fortunately, many sectors of the opposition condemned the murder,"" said Joseph, who hours earlier expressly asked the opposition to join in denouncing the assassination.
Moise was shot dead at his residence during an early morning raid by a group of gunmen."
2,217420,Reuters,2016-09-01,"Haiti's President Jovenel Moise speaks during the investiture ceremony of the independent advisory committee for the drafting of the new constitution at the National Palace in Port-au-Prince, Haiti October 30, 2020. REUTERS/Andres Martinez Casares/File Photo
July 7 (Reuters) - Following are reactions from world leaders and governments to the assassination of Haitian President Jovenel Moise. read more
UNITED NATIONS
U.N. Secretary-General Antonio Guterres condemned the attack and called for those responsible to be brought to justice.
""The Secretary-General calls on all Haitians to preserve the constitutional order, remain united in the face of this abhorrent act and reject all violence,"" U.N. spokesman Stephane Dujarric said. ""The United Nations will continue to stand with the Government and the people of Haiti.""
UNITED STATES
""We are shocked and saddened to hear of the horrific assassination of President Jovenel Mo�se and the attack on First Lady Martine Mo�se of Haiti,"" U.S. President Joe Biden said in a statement.
""We condemn this heinous act,"" he said, offering wishes for the first lady's recovery. ""The United States offers condolences to the people of Haiti, and we stand ready to assist as we continue to work for a safe and secure Haiti.""
COLOMBIA
Colombian President Ivan Duque called on the Organization of American States to send an urgent mission to Haiti to protect democracy. ""We reject the vile assassination of the Haitian President Jovenel Moise. It is a cowardly act full of barbarity against the entire Haitian people,"" he said.
FRANCE
French Foreign Minister Jean Yves Le Drian condemned what he described as a ""cowardly assassination"".
""All light must be cast on this crime that took place in a deteriorating political and security climate. I call on all actors in Haitian political life for calm and restraint,"" Le Drian said in a statement.
UNITED KINGDOM
British Prime Minister Boris Johnson said: ""I am shocked and saddened at the death of President Moise. Our condolences are with his family and the people of Haiti. This is an abhorrent act and I call for calm at this time.""
CANADA
Canadian Prime Minister Justin Trudeau said: ""I strongly condemn the appalling assassination of President Mo�se this morning. Canada stands ready to support the people of Haiti and offer any assistance they need.""
ARGENTINA
Argentina's Foreign Ministry strongly condemned the assassination of Moise, reaffirmed its solidarity with Haiti, and expressed its rejection of the use of violence.
""Argentina hopes that peace and tranquillity will soon be recovered in the country and asks for respect for democratic institutions. It calls for the perpetrators of the crime to be quickly identified so that they can be held responsible for their actions.""
BOLIVIA
President Luis Arce said: ""We condemn these acts of violence. ..our condolences to the Haitian people.""
Compiled by Angus MacSwan; Editing by Paul Simao
Our Standards: The Thomson Reuters Trust Principles."
3,217421,The White House,2016-09-01,"We are shocked and saddened to hear of the horrific assassination of President Jovenel Moïse and the attack on First Lady Martine Moïse of Haiti. We condemn this heinous act, and I am sending my sincere wishes for First Lady Moïse’s recovery. The United States offers condolences to the people of Haiti, and we stand ready to assist as we continue to work for a safe and secure Haiti.
###"
4,217422,nypost.com,2016-09-01,"1  of

The late Jovenel Moise, whom was killed at his home during a planned assassination on July 7, 2021, addresses the 73rd session of the United Nations General Assembly, at U.N. headquarters in New York. AP

2  of

Haitian President Jovenel Moise walks with officials after his inauguration ceremony at Parliament in Port-au-Prince, Haiti. AP

3  of

Haiti's President Jovenel Moise, who was killed by a group of suspects who had entered his residence on July 7, 2021, is seen speaking in Port-au-Prince for a press conference. Orlando Barría/EPA-EFE/Shutters

of

Haiti's President Jovenel Moise and First Lady Martine Moise, whom were both under attack at their home on July 7, 2021, speak with Spain's Queen Letizia Ortiz at the national Palace in Port-au-Prince, Haiti. AP

of

Haitian President Jovenel Moise hugs his wife Martine after being sworn in at Parliament, as both were targeted victims of an attack that killed the President at their home in Port-au-Prince, Haiti. AP

of

Haitian President Jovenel Moise, who was killed during an assassination at his home on July 7, 2021, arrives for an interview at his residence in Petion-Villearrives on February 7, 2020. AP

7  of

Martine Moise, first lady of Haiti, arrives at Jackson Health System's Ryder Trauma Center, in Miami, for treatment following an attack at her residence that left her husband dead. AP

of

Suspects in the assassination of Haiti's President Jovenel Moise, among them Haitian-American citizens James Solages, left, and Joseph Vincent, second left. AP

of

Police guards detain suspects in the assassination of Haiti's President Jovenel Moise. AP

of

Suspects in the assassination of Haiti's President Jovenel Moise sit on the floor after being detained in Port-au-Prince, Haiti. AP

of

Two suspects in the assassination of Haiti's President Jovenel Moise are violently moved to be displayed to the press at the General Direction of the police in Port-au-Prince, Haiti. AP

of

Suspects in the assassination of Haiti's President Jovenel Moise are lined up one by one sitting down with their backs against a wall in front of the media in Port-au-Prince, Haiti. AP

of

Suspects in the killing of Haiti's President Jovenel Moise are shown to the media, along with the weapons and equipment they used in the attack. AP

of

Interim President Claude Joseph (front middle) looks at the suspects involved in the assassination of Haiti's President Jovenel Moise during a media showing. AP

of

Suspects in the assassination of Haiti's President Jovenel Moise are displayed to the media in Port-au-Prince, Haiti. AP

of

Soldiers patrol in Petion Ville, the neighborhood where the late Haitian President Jovenel Moise lived in Port-au-Prince. AP

of

Police officers patrol in search for suspects in the murder Haiti's President Jovenel Moise, in Port-au-Prince. AP

of

A security force officer investigates the perimeters of Haitian President Jovenel Moise's residence in Port-au-Prince, Haiti. AP

of

The police take two detainees to the police station of Petion Ville. AP

20  of

Interim President Claude Joseph speaks to journalists in regards to the aftermath of Jovenel Moise's assassination in Port-au-Prince, Haiti. AP

21  of

A member of the security forces unrolls crime scene tape near the residence of Haitian President Jovenel Moise in Port-au-Prince, Haiti. AP

of

A bystander points to a vehicle, covered with bullets holes, parked outside the residence of Haitian President Jovenel Moise in Port-au-Prince, Haiti. AP

-  Email

-  Email

- -  Media
-  Photos"
5,217423,Reuters,2016-09-01,"Haiti's President Jovenel Moise speaks during the investiture ceremony of the independent advisory committee for the drafting of the new constitution at the National Palace in Port-au-Prince, Haiti October 30, 2020. REUTERS/Andres Martinez Casares/File Photo
July 7 (Reuters) - Following are reactions from world leaders and governments to the assassination of Haitian President Jovenel Moise. read more
UNITED NATIONS
U.N. Secretary-General Antonio Guterres condemned the attack and called for those responsible to be brought to justice.
""The Secretary-General calls on all Haitians to preserve the constitutional order, remain united in the face of this abhorrent act and reject all violence,"" U.N. spokesman Stephane Dujarric said. ""The United Nations will continue to stand with the Government and the people of Haiti.""
UNITED STATES
""We are shocked and saddened to hear of the horrific assassination of President Jovenel Mo�se and the attack on First Lady Martine Mo�se of Haiti,"" U.S. President Joe Biden said in a statement.
""We condemn this heinous act,"" he said, offering wishes for the first lady's recovery. ""The United States offers condolences to the people of Haiti, and we stand ready to assist as we continue to work for a safe and secure Haiti.""
COLOMBIA
Colombian President Ivan Duque called on the Organization of American States to send an urgent mission to Haiti to protect democracy. ""We reject the vile assassination of the Haitian President Jovenel Moise. It is a cowardly act full of barbarity against the entire Haitian people,"" he said.
FRANCE
French Foreign Minister Jean Yves Le Drian condemned what he described as a ""cowardly assassination"".
""All light must be cast on this crime that took place in a deteriorating political and security climate. I call on all actors in Haitian political life for calm and restraint,"" Le Drian said in a statement.
UNITED KINGDOM
British Prime Minister Boris Johnson said: ""I am shocked and saddened at the death of President Moise. Our condolences are with his family and the people of Haiti. This is an abhorrent act and I call for calm at this time.""
CANADA
Canadian Prime Minister Justin Trudeau said: ""I strongly condemn the appalling assassination of President Mo�se this morning. Canada stands ready to support the people of Haiti and offer any assistance they need.""
ARGENTINA
Argentina's Foreign Ministry strongly condemned the assassination of Moise, reaffirmed its solidarity with Haiti, and expressed its rejection of the use of violence.
""Argentina hopes that peace and tranquillity will soon be recovered in the country and asks for respect for democratic institutions. It calls for the perpetrators of the crime to be quickly identified so that they can be held responsible for their actions.""
BOLIVIA
President Luis Arce said: ""We condemn these acts of violence. ..our condolences to the Haitian people.""
Compiled by Angus MacSwan; Editing by Paul Simao
Our Standards: The Thomson Reuters Trust Principles."
6,217424,NewsComAu,2016-09-01,"-  Video

Four people suspected of being involved in the killing of Haiti’s President Jovenel Moise have been shot dead in a brutal shoot-out with police.
The president was assassinated in his home early Wednesday and his wife was wounded.
Four “mercenaries” were killed and two taken into custody, police said, adding that officers were conducting an operation in the capital Port-au-Prince.
“Four mercenaries were killed, two were intercepted under our control. Three policemen who had been taken hostage have been recovered,” said the director general of Haiti’s national police Leon Charles in a televised statement.
He said police pursued the assassins immediately after the attack on Mr Moise and his wife.
Haiti in ‘state of siege’
Interim Prime Minister Claude Joseph has declared the nation is in a “state of siege” and said he was now in charge of the country.
He urged people to remain calm while insisting the police and army would ensure public order.
Martial law has been declared and Haiti’s borders and international airport are closed.
A friend of mine tells me “it’s been a long time since I’ve heard gunfire like this.” This is what Port-au-Prince sounded like a bit ago. Says gunfire is now “everywhere.”  #haiti  pic.twitter.com/Qfhnyg2i40
— Michael Deibert (@michaelcdeibert)  July 7, 2021 “The president was assassinated at his home by foreigners who spoke English and Spanish,” Mr Joseph said.
He said the attackers presented themselves as Drug and Enforcement Administration (DEA) Agents in video from the scene.
“I believe they are fake DEA agents,” he told reporters.
State Department spokesperson Ned Price said suggestions the attackers were DEA agents were “absolutely false”.
Mr Joseph described the attackers as a “highly trained and heavily armed group”.
Haitian first lady Martine Moise was injured in the attack and will be moved to a hospital in Miami for treatment.
RELATED:  Haiti child sex traffickers busted in undercover sting
RELATED:  10 shocking humanitarian crises you haven’t heard of
Mr Moise had ruled Haiti, the poorest country in the Americas, by decree, after legislative elections due in 2018 were delayed in the wake of disputes, including on when his own term ends.
In addition to the political crisis, kidnappings for ransom have surged in recent months, reflecting the growing influence of armed gangs in the Caribbean nation.
Haiti also faces chronic poverty and recurrent natural disasters.
The president faced steep opposition from swathes of the population that deemed his mandate illegitimate, and he churned through a series of seven prime ministers in four year.
Most recently, Joseph was supposed to be replaced this week after only three months in the post.
In addition to presidential, legislative and local elections, Haiti was due to have a constitutional referendum in September after it was twice postponed due to the coronavirus pandemic.
World reacts
US President Joe Biden called the assassination “very worrisome”.
“We need a lot more information but, it’s been very worrisome about the state of Haiti,” he told reporters.
White House Press Secretary Jen Psaki said “we will be helpful in any way to the people of Haiti, to the government of Haiti.
British Prime Minister Boris Johnson said he was shocked at the “abhorrent” assassination.
European Union foreign policy chief Josep Borrell said he was “shocked” by the assassination and warned it could further destabilise the Caribbean nation.
“This crime poses a risk of instability and a spiral of violence. The perpetrators of this assassination must be found and brought to justice,” Mr Borrell wrote on Twitter.
The Dominican Republic shuttered its border with Haiti after the assassination of the neighbouring country’s president.
The countries share a 380-kilometer border on the island of Hispaniola, and defence ministry spokesman Ceinett Sanchez told AFP its closure would be “immediate.”
Dominican President Luis Abinader condemned the killing, saying on Twitter the crime “undermines the democratic order in Haiti and the region.”
He offered condolences to the family of Moise and his wife Martine.
Local media said Abinader had summoned military leaders to analyse the situation on the island.
‘Multiple crises’
Mr Moise, a 53-year-old former entrepreneur who set up a string of businesses in the north of the country, where he hailed from, burst on to the political stage in 2017 with a message of rebuilding the impoverished nation.
He campaigned on populist pledges, as all candidates in Haiti do, but he kept up the rhetoric even after he was elected in February 2017.
The date of his election became the source of a political standoff. Mr Moise maintained that his term of office ran until February 7, 2022, but others claimed it ended on February 7, 2021.
The disagreement stems from the fact that Mr Moise was elected in a vote that was cancelled for fraud, and then re-elected a year later.
Without a parliament, the country fell further into crisis in 2020, and led to Mr Moise governing by decree, fuelling growing mistrust of him.
The constitution currently in force was written in 1987 after the fall of the Duvalier dictatorship and declares that “any popular consultation aimed at modifying the Constitution by referendum is formally prohibited.”
The United Nations Security Council, the United States and Europe had called for free and transparent legislative and presidential elections to be held by the end of this year.
The killing comes days after Mr Moise appointed Ariel Henry, a neurosurgeon who studied in France, as Haiti’s new prime minister.
Mr Henry, 71, has been part of Haiti’s coronavirus response and previously held posts in the government in 2015 and 2016 as interior minister then social affairs and labour minister.
Mr Henry is close to the opposition, but his appointment was not welcomed by the majority of opposition parties, who had continued to demand the president step down.
- with AFP"
7,217425,SFGATE,2016-09-01,"“We are going to bring them to justice,” he said as the 17 suspects sat handcuffed on the floor during a press conference Thursday night.
Late Thursday, Colombia’s government said six of the suspects in Haiti, including two of those killed, were retired member of Colombia's army, though it didn’t release their identities.
The head of the Colombian national police, Gen. Jorge Luis Vargas Valencia, said President Iván Duque had instructed the high command of Colombia’s army and police to cooperate in the investigation.
“A team was formed with the best investigators ... they are going to send dates, flight times, financial information that is already being collected to be sent to Port-au-Prince,” Vargas said.
The oldest suspect is 55 and the youngest, Solages, is 35, according to a document shared by Mathias Pierre, Haiti’s minister of elections.
He would not provide additional details about Solages’ background, nor provide the name of the second Haitian American. The U.S. State Department said it was aware of reports that Haitian Americans were in custody but could not confirm or comment.
Solages described himself as a “certified diplomatic agent,” an advocate for children and budding politician on a website for a charity he established in 2019 in south Florida to assist residents.
On his bio page for the charity, Solages said he previously worked as a bodyguard at the Canadian Embassy in Haiti. The Canadian Embassy didn’t immediately comment; calls to the foundation and Solages’ associates at the charity either did not go through or weren't answered.
Witnesses said two suspects were discovered Thursday hiding in bushes in Port-au-Prince by a crowd, some of whom grabbed the men by their shirts and pants, pushing them and occasionally slapping them.
Police arrested the men, who were sweating heavily and wearing clothes that seemed to be smeared with mud, an Associated Press journalist said. Officers put them in the back of a pickup truck and drove away as the crowd ran after them to the nearby police station.
Once there, some in the crowd chanted: “They killed the president! Give them to us. We’re going to burn them!”
One man was overheard saying that it was unacceptable for foreigners to come to Haiti to kill the country’s leader, referring to reports from Haitian officials that the perpetrators spoke Spanish or English.
The crowd later set fire to several abandoned cars riddled with bullet holes that they believed belonged to the suspects, who were white men. The cars didn’t have license plates, and inside one of them was an empty box of bullets and some water.
At a news conference Thursday, Charles, the police chief, urged people to stay calm and let police do their work as he warned that authorities needed evidence they were destroying, including the burned cars.
Officials did not address a motive for the slaying, saying only that the attack, condemned by Haiti’s main opposition parties and the international community, was carried out by “a highly trained and heavily armed group.”
Not everyone was buying the government’s description of the attack. When Haitian journalist Robenson Geffrard, who writes for a local newspaper and has a radio show, tweeted a report on the police chief’s comments, he drew a flood of responses expressing skepticism. Many wondered how the sophisticated attackers described by police could penetrate Moïse’s home, security detail and panic room and then escape unharmed but were then caught without planning a successful getaway.
Meanwhile, a Haitian judge involved in the investigation said that Moïse was shot a dozen times and his office and bedroom were ransacked, according to the Haitian newspaper Le Nouvelliste. It quoted Judge Carl Henry Destin as saying investigators found 5.56 and 7.62 mm cartridges between the gatehouse and inside the house.
Moïse’s daughter, Jomarlie Jovenel, hid in her brother’s bedroom during the attack, he said, and a maid and another worker were tied up by the attackers.
Interim Prime Minister Claude Joseph, who assumed leadership of Haiti with the backing of police and the military, asked people to reopen businesses and go back to work as he ordered the reopening of the international airport.
On Wednesday, Joseph decreed a two-week state of siege following Moïse’s killing, which stunned a nation grappling with some of the Western Hemisphere’s highest poverty, violence and political instability.
Inflation and gang violence have spiraled upward as food and fuel grew scarcer in a country where 60% of Haitians earn less than $2 a day. The increasingly dire situation comes as Haiti is still trying to recover from the devastating 2010 earthquake and Hurricane Matthew in 2016 following a history of dictatorship and political upheaval.
“There is this void now, and they are scared about what will happen to their loved ones,” said Marlene Bastien, executive director of Family Action Network Movement, a group that helps people in Miami’s Little Haiti community.
She called on the Biden administration to take a much more active role in supporting attempts at national dialogue in Haiti with the aim of holding free, fair and credible elections.
Meanwhile, the Security Council met Thursday to talk about the situation in Haiti, and U.N. special envoy Helen La Lime, speaking to reporters at U.N. headquarters from Port-Au-Prince, said Haiti made a request for additional security assistance.
Haiti had grown increasingly unstable under Moïse, who had been ruling by decree for more than a year and faced violent protests as critics accused him of trying to amass more power while the opposition demanded he step down.
Moïse had faced large protests in recent months that turned violent as opposition leaders and their supporters rejected his plans to hold a constitutional referendum with proposals that would strengthen the presidency.
According to Haiti’s constitution, Moïse should be replaced by the president of Haiti’s Supreme Court, but the chief justice died in recent days from COVID-19, leaving open the question of who might rightfully succeed to the office.
Joseph, meanwhile, was supposed to be replaced by Ariel Henry, a neurosurgeon who had been named prime minister by Moïse a day before the assassination.
Henry told the AP that he is the prime minister, calling it an exceptional and confusing situation. “I am the prime minister in office,” he said.
On Thursday, public transportation and street vendors remained scarce, an unusual sight for the normally bustling streets of Port-au-Prince.
Marco Destin, 39, was walking to see his family since no buses, known as tap-taps, were available. He was carrying a loaf of bread for them because they had not left their house since the president’s killing out of fear for their lives.
“Every one at home is sleeping with one eye open and one eye closed,” he said. “If the head of state is not protected, I don’t have any protection whatsoever.”
Gunfire rang out intermittently across the city hours after the killing, a grim reminder of the growing power of gangs that displaced more than 14,700 people last month alone as they torched and ransacked homes in a fight over territory.
Robert Fatton, a Haitian politics expert at the University of Virginia, said gangs were a force to contend with and it isn’t certain Haiti’s security forces can enforce a state of siege.
“It’s a really explosive situation,” he said, adding that foreign intervention with a U.N.-type military presence is a possibility.
“Whether Claude Joseph manages to stay in power is a huge question. It will be very difficult to do so if he doesn’t create a government of national unity.”
Coto reported from San Juan, Puerto Rico. Goodman reported from Miami. AP videographer Pierre-Richard Luxama in Port-au-Prince contributed to this report."
8,217426,Voice of America,2016-09-01,"WASHINGTON / PORT-AU-PRINCE - Haitian police arrested “the presumed assassins” of Haiti President Jovenel Moise, a government official announced on social media late Wednesday.
""Alleged assassins of [Moise] intercepted by the National Police in Pelerin shortly before 6 p.m. tonight,"" Communications Secretary Frantz Exantus tweeted, according to media reports.
Exantus provided no other details, such as how many suspects had been arrested. He said additional details would be released soon.
A manhunt ensued after the shooting death of Moise at his private residence in a wealthy suburb of the capital, Port-au-Prince, before dawn on Wednesday
""Those killers are on the loose,"" Haitian Ambassador to the United States Bocchit Edmond said Wednesday during a briefing with reporters covering the State Department. ""We are calling for an international manhunt.""
Edmond said Haiti would request U.S. assistance and expertise. ""A stable Haiti is in the interest of the United States,"" he said.
Haiti's border with the Dominican Republic and its airports are closed, the ambassador said. Edmond said officials suspected the attackers were either still in Haiti or had escaped over the border. He ruled out the possibility of an escape via air, saying it would have been virtually impossible to evade the country's air surveillance system.
Interim Prime Minister Claude Joseph declared a state of siege and said he was now in charge of the country.
Asked by VOA whether officials know the nationality of the gunmen, Edmond said he was unsure, but based on video footage obtained by the national police and deemed credible, the assassins, whom he described as ""mercenaries,"" posed as agents of the U.S. Drug Enforcement Administration.
""They are speaking Spanish and presented themselves as DEA agents. As we well know, this is not the way the DEA operates. I believe they are fake DEA agents. Experts who saw the video said those are professional killers,"" Edmond told reporters.
First lady Martine Moise, who was shot during the attack, was in stable but critical condition, the ambassador said. She has been transferred to a hospital in Miami, Florida, for treatment. One of the president's children who was at home during the attack has been taken to a secure location.
White House reaction
U.S. President Joe Biden condemned the assassination and expressed condolences in a statement issued by the White House.
""We condemn this heinous act, and I am sending my sincere wishes for First Lady Moïse's recovery. The United States offers condolences to the people of Haiti, and we stand ready to assist as we continue to work for a safe and secure Haiti.""
Biden called the attack ""worrisome."" ""We need a lot more information,"" he said in response to a reporter's question before boarding Marine One en route to Joint Base Andrews Wednesday morning.
World bodies react
In Washington, the permanent council of the Organization of American States held a virtual emergency meeting to discuss the Moise assassination Wednesday afternoon. Member states condemned the killing and expressed condolences and solidarity with the Haitian people.
U.S. Ambassador Brad Freden said that he was shocked by the news and that the United States was concerned about Haiti's security and political stability. He called on all political actors to set aside their differences and work for the common good of the Haitian people.
In New York, the United Nations Security Council president, French Ambassador Nicolas de Riviere, said the council was deeply shocked by the assassination.
The council will meet privately Thursday morning to discuss developments.
""This is a critical moment. I think we all knew it was sensitive and difficult on the ground in Haiti,"" Ireland's ambassador, Geraldine Byrne Nason, told reporters. She said the council would discuss how it could support the people of Haiti.
""I think this is a dark hour for them, and we certainly want to be sure we can express our support for the people of Haiti,"" she said.
The United Nations has about 1,200 staff in Haiti as part of its political mission there.
US lawmakers react
On Capitol Hill, the House Foreign Affairs Committee chairman, New York Democrat Gregory Meeks, extended condolences to the Moise family and the Haitian people. He also expressed his concerns about violence.
""The spiral of violence and political assassinations are a threat to democracy in Haiti. My thoughts go out to the Haitian people as we all hope for a return to peace and stability,"" Meeks said in a statement. ""I will do everything I can to support a thorough investigation to ensure that those involved are held accountable.""
The committee's top Republican, Michael McCaul of Texas, also released a statement condemning the killing and calling for a probe.
""I strongly condemn the assassination of Haitian president Jovenel Moïse and hope his wife who was injured in the attack recovers quickly. There must be a full investigation and appropriate accountability for his murder. My condolences to the Moïse family and people of Haiti.""
Recent uptick in violence
Haiti has been experiencing political instability and division, as well as a rise in gang violence.
Last week in Port-au-Prince, gang leader Jimmy Cherisier, who is known by the nickname Barbecue, took to the streets to protest Moise's government, calling on him to resign.
""Jovenel (Moise) must go!"" Cherisier told reporters during the protest. ""A new group of people needs to lead this country, and we must sit together around a table, have a national dialogue so we can redefine this country.""
Seeking to reassure the nation, the Prime Minister Joseph has appealed for tranquility.
""Stay calm. The nation is secure. Let's look for harmony,"" he said.
Ambassador Edmond reiterated that message during his briefing with reporters.
""Violence is not the answer. There is no future in that,"" he said.
VOA's Matiado Vilme in Port-au-Prince, United Nations correspondent Margaret Besheer, Capitol Hill correspondent Katherine Gypson, and White House correspondent Patsy Widakuswara contributed to this report, which includes some information from The Associated Press and Agence France-Presse."
9,217427,T-Roy,2016-09-01,"Haiti's president has been assassinated.
A group of unidentified people attacked Jovenel Moïse in his private residence last night (Tuesday). First lady Martine Moïse is hospitalized.
Unrest has been growing in Haiti as gang violence increases, inflation grows, and food and fuel shortages crop up. Moïse has been ruling by decree for the past two years after the country failed to hold scheduled elections. (ABC News)"
