,article,cateogry ID,FP/FN/TP/TN
0,151832,Trump meeting,TP
1,48306,Trump meeting,TP
2,172078,Trump meeting,TP
3,110126,Trump meeting,TP
4,26536,Trump meeting,TP
5,57365,Trump meeting,TP
6,21499,Trump meeting,TP
7,190512,Trump meeting,TP
8,23872,Trump meeting,TP
9,110133,Trump meeting,TP
10,23888,Trump meeting,TP
11,142033,Trump meeting,TP
12,71336,Trump meeting,TP
13,214876,Trump meeting,FP
14,71335,Trump meeting,TP
15,80098,Trump meeting,FP
16,57366,Trump meeting,TP
17,78170,Trump meeting,FP
18,44928,Trump meeting,FP
19,71341,No Mapping,TN
20,71339,No Mapping,FN
21,214883,No Mapping,TN
22,214875,No Mapping,TN
23,85798,No Mapping,TN
24,120629,No Mapping,TN
25,214891,No Mapping,TN
26,85799,No Mapping,TN
27,36979,No Mapping,TN
28,214879,No Mapping,TN
29,49458,No Mapping,TN
30,120628,No Mapping,TN
31,71344,No Mapping,TN
32,80112,No Mapping,TN
33,80108,No Mapping,TN
34,57369,No Mapping,TN
35,21500,No Mapping,TN
36,47403,No Mapping,TN
37,42951,No Mapping,TN
38,80111,No Mapping,TN
39,214889,No Mapping,TN
40,25226,No Mapping,TN
41,38952,No Mapping,TN
42,44993,No Mapping,TN
43,110147,No Mapping,TN
44,217534,No Mapping,TN
45,214878,No Mapping,TN
46,120633,No Mapping,TN
47,36650,No Mapping,TN
48,48388,No Mapping,TN
49,80097,No Mapping,TN
50,217529,No Mapping,TN
51,110156,No Mapping,TN
52,35723,No Mapping,TN
53,120631,No Mapping,TN
54,217516,No Mapping,TN
55,48914,No Mapping,TN
56,217518,No Mapping,TN
57,214880,No Mapping,TN
58,139673,No Mapping,TN
59,47078,No Mapping,TN
60,43672,No Mapping,TN
61,85797,No Mapping,TN
62,217538,No Mapping,TN
63,36823,No Mapping,TN
64,172083,No Mapping,TN
65,217526,No Mapping,TN
66,217521,No Mapping,TN
67,40754,No Mapping,TN
68,214973,No Mapping,TN
69,172077,No Mapping,TN
70,43447,No Mapping,TN
71,217532,No Mapping,TN
72,217418,No Mapping,TN
73,49416,No Mapping,TN
74,190495,No Mapping,TN
75,21455,No Mapping,TN
76,110155,No Mapping,TN
77,80106,No Mapping,TN
78,46175,No Mapping,TN
79,217525,No Mapping,TN
80,43849,No Mapping,TN
81,151598,No Mapping,TN
82,46896,No Mapping,TN
83,138709,No Mapping,TN
84,37252,No Mapping,TN
85,85801,No Mapping,TN
86,57377,No Mapping,TN
87,172086,No Mapping,TN
88,85880,No Mapping,TN
89,22918,No Mapping,TN
90,214943,No Mapping,TN
91,110135,No Mapping,TN
92,21485,No Mapping,TN
93,139571,No Mapping,TN
94,217471,No Mapping,TN
95,217510,No Mapping,TN
96,217487,No Mapping,TN
97,217462,No Mapping,TN
98,217461,No Mapping,TN
99,217523,No Mapping,TN
100,110165,No Mapping,TN
101,80105,No Mapping,TN
102,217520,No Mapping,TN
103,217522,No Mapping,TN
104,80101,No Mapping,TN
105,137143,No Mapping,TN
106,139776,No Mapping,TN
107,71340,No Mapping,TN
108,35996,No Mapping,TN
109,190522,No Mapping,TN
110,57372,No Mapping,TN
111,80103,No Mapping,TN
112,23878,No Mapping,TN
113,110152,No Mapping,TN
114,217465,No Mapping,TN
115,172081,No Mapping,TN
116,35776,No Mapping,TN
117,217421,No Mapping,TN
118,214884,No Mapping,TN
119,43318,No Mapping,TN
120,57382,No Mapping,TN
121,134825,No Mapping,TN
122,110137,No Mapping,TN
123,57379,No Mapping,TN
